year,group,amount
2014,зернові та зернобобові,63859
2015,зернові та зернобобові,60126
2016,зернові та зернобобові,66088
2017,зернові та зернобобові,61917
2018,зернові та зернобобові,70057
2014,буряк цукровий фабричний,15734
2015,буряк цукровий фабричний,10331
2016,буряк цукровий фабричний,14011
2017,буряк цукровий фабричний,14882
2018,буряк цукровий фабричний,13968
2014,соняшник,10134
2015,соняшник,11181
2016,соняшник,13627
2017,соняшник,12236
2018,соняшник,14165
2014,картопля,23693
2015,картопля,20839
2016,картопля,21750
2017,картопля,22208
2018,картопля,22504
2014,культури овочеві,9638
2015,культури овочеві,9214
2016,культури овочеві,9415
2017,культури овочеві,9286
2018,культури овочеві,9440
2014,культури плодові та ягідні,1999
2015,культури плодові та ягідні,2153
2016,культури плодові та ягідні,2007
2017,культури плодові та ягідні,2048
2018,культури плодові та ягідні,2571
