region,interval,share
Вінницька ,не склали,16.1
Волинська ,не склали,15.4
Дніпропетровська ,не склали,15.1
Донецька ,не склали,18.1
Житомирська ,не склали,16.9
Закарпатська ,не склали,26.9
Запорізька ,не склали,14.5
Івано‐Франківська ,не склали,17.5
Київська ,не склали,13.7
Кіровоградська ,не склали,16.2
Луганська ,не склали,16.5
Львівська ,не склали,15.4
Миколаївська ,не склали,18.7
Одеська ,не склали,16.5
Полтавська ,не склали,14.2
Рівненська ,не склали,20.4
Сумська ,не склали,15.7
Тернопільська ,не склали,18.0
Харківська ,не склали,12.0
Херсонська ,не склали,16.7
Хмельницька ,не склали,16.7
Черкаська ,не склали,8.8
Чернівецька ,не склали,20.4
Чернігівська ,не склали,13.1
м.Київ,не склали,7.4
Вінницька ,100-119,25.3
Волинська ,100-119,22.1
Дніпропетровська ,100-119,23.6
Донецька ,100-119,24.9
Житомирська ,100-119,22.9
Закарпатська ,100-119,30.2
Запорізька ,100-119,25.0
Івано‐Франківська ,100-119,23.9
Київська ,100-119,20.6
Кіровоградська ,100-119,24.5
Луганська ,100-119,24.8
Львівська ,100-119,19.9
Миколаївська ,100-119,25.0
Одеська ,100-119,25.9
Полтавська ,100-119,23.1
Рівненська ,100-119,24.8
Сумська ,100-119,23.7
Тернопільська ,100-119,23.1
Харківська ,100-119,20.1
Херсонська ,100-119,25.3
Хмельницька ,100-119,23.4
Черкаська ,100-119,22.5
Чернівецька ,100-119,30.9
Чернігівська ,100-119,21.5
м.Київ,100-119,17.5
Вінницька ,120-139,20.6
Волинська ,120-139,19.1
Дніпропетровська ,120-139,21.6
Донецька ,120-139,19.3
Житомирська ,120-139,19.6
Закарпатська ,120-139,16.8
Запорізька ,120-139,22.8
Івано‐Франківська ,120-139,20.2
Київська ,120-139,19.4
Кіровоградська ,120-139,20.4
Луганська ,120-139,20.6
Львівська ,120-139,17.5
Миколаївська ,120-139,20.8
Одеська ,120-139,21.2
Полтавська ,120-139,21.2
Рівненська ,120-139,18.6
Сумська ,120-139,19.6
Тернопільська ,120-139,19.3
Харківська ,120-139,20.4
Херсонська ,120-139,22.3
Хмельницька ,120-139,20.5
Черкаська ,120-139,22.2
Чернівецька ,120-139,19.8
Чернігівська ,120-139,20.2
м.Київ,120-139,20.5
Вінницька ,140-159,15.7
Волинська ,140-159,16.9
Дніпропетровська ,140-159,18.2
Донецька ,140-159,15.6
Житомирська ,140-159,17.0
Закарпатська ,140-159,11.8
Запорізька ,140-159,17.6
Івано‐Франківська ,140-159,15.2
Київська ,140-159,18.0
Кіровоградська ,140-159,15.8
Луганська ,140-159,17.7
Львівська ,140-159,15.3
Миколаївська ,140-159,16.3
Одеська ,140-159,16.8
Полтавська ,140-159,17.4
Рівненська ,140-159,14.7
Сумська ,140-159,17.3
Тернопільська ,140-159,16.2
Харківська ,140-159,19.5
Херсонська ,140-159,16.5
Хмельницька ,140-159,16.6
Черкаська ,140-159,20.5
Чернівецька ,140-159,13.3
Чернігівська ,140-159,18.4
м.Київ,140-159,19.9
Вінницька ,160-179,13.2
Волинська ,160-179,14.8
Дніпропетровська ,160-179,14.0
Донецька ,160-179,13.4
Житомирська ,160-179,13.8
Закарпатська ,160-179,8.7
Запорізька ,160-179,13.2
Івано‐Франківська ,160-179,13.3
Київська ,160-179,16.7
Кіровоградська ,160-179,14.7
Луганська ,160-179,13.3
Львівська ,160-179,16.2
Миколаївська ,160-179,12.0
Одеська ,160-179,13.2
Полтавська ,160-179,14.3
Рівненська ,160-179,12.6
Сумська ,160-179,14.3
Тернопільська ,160-179,13.5
Харківська ,160-179,17.0
Херсонська ,160-179,12.2
Хмельницька ,160-179,13.8
Черкаська ,160-179,16.9
Чернівецька ,160-179,9.8
Чернігівська ,160-179,15.1
м.Київ,160-179,19.2
Вінницька ,180-200,9.0
Волинська ,180-200,11.6
Дніпропетровська ,180-200,7.4
Донецька ,180-200,8.6
Житомирська ,180-200,9.7
Закарпатська ,180-200,5.5
Запорізька ,180-200,6.9
Івано‐Франківська ,180-200,9.9
Київська ,180-200,11.6
Кіровоградська ,180-200,8.5
Луганська ,180-200,7.1
Львівська ,180-200,15.7
Миколаївська ,180-200,7.2
Одеська ,180-200,6.5
Полтавська ,180-200,9.8
Рівненська ,180-200,8.7
Сумська ,180-200,9.4
Тернопільська ,180-200,10.0
Харківська ,180-200,11.0
Херсонська ,180-200,7.0
Хмельницька ,180-200,9.1
Черкаська ,180-200,9.1
Чернівецька ,180-200,5.7
Чернігівська ,180-200,11.6
м.Київ,180-200,15.5
